Title,Ranking,Genre,Actors,Runtime
Breaking Bad,1,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn",47
Game of Thrones,2,"Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington",56
The Wire,3,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn",59
One-Punch Man,4,"Animation, Action, Comedy, Sci-Fi","Makoto Furukawa, Kaito Ishikawa, Yoji Ueda",22
Rick and Morty,5,"Animation, Adventure, Comedy, Sci-Fi","Justin Roiland, Chris Parnell, Spencer Grammer",22
Sherlock,6,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs",88
The Sopranos,7,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco",55
Avatar: The Last Airbender,8,"Animation, Action, Adventure, Family, Fantasy, Mystery","Zach Tyler, Dee Bradley Baker, Mae Whitman",23
Last Week Tonight with John Oliver,9,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal",30
Leyla ile Mecnun,10,"Adventure, Comedy, Drama, Fantasy, Mystery, Romance","Ali Atay, Cengiz Bozkurt, Serkan Keskin",80
True Detective,11,"Crime, Drama, Mystery, Thriller","Vince Vaughn, Colin Farrell, Rachel McAdams",55
Firefly,12,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk",44
Hagane no renkinjutsushi,13,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi","Kent Williams, Iemasa Kayumi, Vic Mignogna",24
Fargo,14,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman",53
Death Note: Desu n&#xF4;to,15,"Animation, Crime, Drama, Fantasy, Horror, Mystery, Thriller","Mamoru Miyano, Brad Swaile, Vincent Tong",24
House of Cards,16,Drama,"Kevin Spacey, Michel Gill, Robin Wright",51
Arrested Development,17,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi",22
The Twilight Zone,18,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Rod Serling, Robert McCord, Jay Overholts",51
Narcos,19,"Biography, Crime, Drama","Wagner Moura, Boyd Holbrook, Pedro Pascal",49
Batman: The Animated Series,20,"Animation, Action, Adventure, Crime, Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller","Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.",23
Kaub&#xF4;i bibappu: Cowboy Bebop,21,"Animation, Action, Adventure, Drama, Sci-Fi, Thriller","Kunihiro Mori, Ikurô Satô, Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara",24
Hunter x Hunter,22,"Animation, Action, Adventure, Comedy, Fantasy","Mariya Ise, Megumi Han, Daisuke Namikawa",24
Friends,23,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow",22
Monty Python&#x27;s Flying Circus,24,"Comedy, Music","Graham Chapman, John Cleese, Terry Gilliam",30
Kardes Payi,25,"Comedy, Drama, Family","Ahmet Kural, Murat Cemcir, Seda Bakan",70
K&#xF4;do giasu: Hangyaku no rur&#xFB;shu R2,26,"Animation, Action, Drama, Mystery, Sci-Fi, Thriller","Adam Bobrow, Johnny Yong Bosch, Yuri Lowenthal",24
Twin Peaks,27,"Drama, Mystery, Thriller","Kyle MacLachlan, Michael Ontkean, Mädchen Amick",47
Seinfeld,28,Comedy,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards",22
Pod prikritie,29,"Action, Crime, Drama","Vladimir Penev, Zachary Baharov, Mihail Bilalov",60
Freaks and Geeks,30,"Comedy, Drama","Linda Cardellini, John Francis Daley, James Franco",44
Only Fools and Horses....,31,Comedy,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack",95
Rome,32,"Action, Drama, History, Romance, War","Kevin McKidd, Ray Stevenson, Polly Walker",90
Mr. Robot,33,"Crime, Drama","Rami Malek, Christian Slater, Portia Doubleday",49
Top Gear,34,"Comedy, Talk-Show","Richard Hammond, Jeremy Clarkson, James May",60
Shingeki no kyojin,35,"Animation, Action, Adventure, Drama, Fantasy, Horror","Marina Inoue, Yuki Kaji, Josh Grelle",24
Gravity Falls,36,"Animation, Adventure, Comedy, Family, Mystery","Jason Ritter, Alex Hirsch, Kristen Schaal",23
Steins;Gate,37,"Animation, Comedy, Drama, Romance, Sci-Fi, Thriller","Hiroshi Hamazaki, Takuya Satô, Mamoru Miyano, Asami Imai, Kana Hanazawa",24
The Simpsons,38,"Animation, Comedy","Dan Castellaneta, Nancy Cartwright, Julie Kavner",22
Permanent Roommates,39,"Comedy, Romance","Sameer Saxena, Nidhi Singh, Sumeet Vyas, Deepak Kumar Mishra",21
Blackadder Goes Forth,40,"Comedy, War","Rowan Atkinson, Tony Robinson, Stephen Fry",175
House M.D.,41,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard",44
Dexter,42,"Crime, Drama, Mystery, Thriller","Michael C. Hall, Jennifer Carpenter, David Zayas",53
Ash vs Evil Dead,43,"Action, Comedy, Fantasy, Horror","Bruce Campbell, Ray Santiago, Dana DeLorenzo",30
Dragon Ball Z,44,"Animation, Action, Adventure, Fantasy, Sci-Fi, Thriller","Sean Schemmel, Christopher Sabat, Doc Harris",24
Fawlty Towers,45,Comedy,"John Cleese, Prunella Scales, Andrew Sachs",30
Oz,46,"Crime, Drama, Thriller","Gregory Dark, Ernie Hudson, J.K. Simmons, Lee Tergesen",55
Wan p&#xEE;su: One Piece,47,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance","Tony Beck, Laurent Vernin, Mayumi Tanaka",24
Better Call Saul,48,"Crime, Drama","Bob Odenkirk, Jonathan Banks, Rhea Seehorn",47
Archer,49,"Animation, Action, Comedy","H. Jon Benjamin, Judy Greer, Amber Nash",22
Daredevil,50,"Action, Crime, Drama","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll",54
